# V29 spelling corpus v1 - romanized input (ASR-style) | current v28d converter output (rig, layout k1) | canonical standard spelling
# class: loan=English loan word, native=Bangla native word. Sources: MK soak 05:45-05:49 + probe 05:55.
# input	class	current	canonical	status
type	loan	টয়পে	টাইপ	WRONG
english	loan	এংলিশ	ইংলিশ	WRONG
but	loan	বুট	বাট	WRONG
use	loan	উসে	ইউজ	WRONG
automatically	loan	আউতমাতিকালল্য়	অটোমেটিক্যালি	WRONG
like	loan	লিকে	লাইক	WRONG
output	loan	ঔটপুট	আউটপুট	WRONG
speak	loan	স্পেআক	স্পিক	WRONG
bus	loan	বুস	বাস	WRONG
as	loan	আস	অ্যাজ	WRONG
well	loan	ওেল	ওয়েল	WRONG
does	loan	ডএস	ডাজ	WRONG
can	loan	কান	ক্যান	WRONG
see	loan	সি	সি	OK
office	loan	অফিস	অফিস	OK
mobile	loan	মবিলে	মোবাইল	WRONG
phone	loan	ফনে	ফোন	WRONG
computer	loan	কম্পুতের	কম্পিউটার	WRONG
school	loan	সচুল	স্কুল	WRONG
college	loan	কললেগে	কলেজ	WRONG
exam	loan	একসাম	এগ্জাম	WRONG
result	loan	রেসুলট	রেজাল্ট	WRONG
message	loan	মেসাগে	মেসেজ	WRONG
call	loan	কালল	কল	WRONG
video	loan	ভিডেও	ভিডিও	WRONG
meeting	loan	মিটিং	মিটিং	OK
file	loan	ফিলে	ফাইল	WRONG
email	loan	এমাইল	ইমেইল	WRONG
internet	loan	ইনটের্নেট	ইন্টারনেট	WRONG
online	loan	অনলিনে	অনলাইন	WRONG
download	loan	ডৌনলআড	ডাউনলোড	WRONG
install	loan	ইনসটাল	ইনস্টল	WRONG
keyboard	loan	কিবোর্ড	কীবোর্ড	WRONG
problem	loan	প্রবলেম	প্রবলেম	OK
better	loan	বেটের	বেটার	WRONG
test	loan	টেসট	টেস্ট	WRONG
release	loan	রেলেআসে	রিলিজ	WRONG
update	loan	উপডাটে	আপডেট	WRONG
tahole	native	তাহলে	তাহলে	OK
hothat	native	হথাত	হঠাৎ	WRONG
korsi	native	করসি	করছি	DIALECT
dekhchi	native	দেখছি	দেখছি	OK
jacche	native	যাচ্ছে	যাচ্ছে	OK
bolchi	native	বলছি	বলছি	OK
aschi	native	আসছি	আসছি	OK
kintu	native	কিন্তু	কিন্তু	OK
ekhon	native	এখন	এখন	OK
taratari	native	তাড়়াতাড়়ি	তাড়াতাড়ি	OK
valo	native	ভালো	ভালো	OK
kotha	native	কথা	কথা	OK
bujhte	native	বুঝতে	বুঝতে	OK
parche	native	পারচে	পারছে	WRONG
