tomorrow	টুমরো
password	পাসওয়ার্ড
whatsapp	হোয়াটসঅ্যাপ
message	মেসেজ
minute	মিনিট
minutes	মিনিট
account	অ্যাকাউন্ট
email	ইমেইল
schedule	শিডিউল
doctor	ডক্টর
airport	এয়ারপোর্ট
chocolate	চকলেট
interesting	ইন্টারেস্টিং
because	বিকজ
always	অলওয়েজ
important	ইম্পর্ট্যান্ট
question	কোয়েশ্চেন
wait	ওয়েট
week	উইক
call	কল
letter	লেটার
website	ওয়েবসাইট
problem	প্রবলেম
project	প্রজেক্ট
office	অফিস
meeting	মিটিং
okay	ওকে
ok	ওকে
phone	ফোন
video	ভিডিও
photo	ফটো
bus	বাস
car	কার
file	ফাইল
app	অ্যাপ
apps	অ্যাপস
online	অনলাইন
offline	অফলাইন
facebook	ফেসবুক
youtube	ইউটিউব
google	গুগল
instagram	ইনস্টাগ্রাম
university	ইউনিভার্সিটি
class	ক্লাস
exam	এক্সাম
sorry	সরি
thanks	থ্যাংকস
thank	থ্যাংক
please	প্লিজ
really	রিয়েলি
actually	অ্যাকচুয়ালি
already	অলরেডি
anyway	এনিওয়ে
weekend	উইকেন্ড
water	ওয়াটার
work	ওয়ার্ক
laptop	ল্যাপটপ
charge	চার্জ
battery	ব্যাটারি
internet	ইন্টারনেট
report	রিপোর্ট
friday	ফ্রাইডে
monday	মানডে
tuesday	টিউজডে
wednesday	ওয়েডনেসডে
thursday	থার্সডে
saturday	স্যাটারডে
sunday	সানডে
today	টুডে
birthday	বার্থডে
holiday	হলিডে
delay	ডিলে
appointment	অ্যাপয়েন্টমেন্ট
emergency	ইমার্জেন্সি
join	জয়েন
restaurant	রেস্টুরেন্ট
table	টেবিল
camera	ক্যামেরা
angry	অ্যাংরি
month	মান্থ
tonight	টুনাইট
change	চেঞ্জ
busy	বিজি
next	নেক্সট
january	জানুয়ারি
february	ফেব্রুয়ারি
march	মার্চ
april	এপ্রিল
may	মে
june	জুন
july	জুলাই
august	আগস্ট
september	সেপ্টেম্বর
october	অক্টোবর
november	নভেম্বর
december	ডিসেম্বর
retweet	রিটুইট
tweet	টুইট
netflix	নেটফ্লিক্স
iphone	আইফোন
the	দ্য
and	অ্যান্ড
of	অফ
from	ফ্রম
your	ইয়োর
about	অ্যাবাউট
with	উইথ
what	হোয়াট
there	দেয়ার
their	দেয়ার
where	হোয়্যার
when	হোয়েন
which	হুইচ
samsung	স্যামসাং
uber	উবার
read	রিড
lead	লিড
close	ক্লোজ
use	ইউজ
wind	উইন্ড
tear	টিয়ার
wound	উন্ড
live	লাইভ
record	রেকর্ড
present	প্রেজেন্ট
object	অবজেক্ট
released	রিলিজড
details	ডিটেইলস
tired	টায়ার্ড
going	গোয়িং
hmm	হুম
here	হিয়ার
hear	হিয়ার
mail	মেইল
bangladesh	বাংলাদেশ
keyboard	কীবোর্ড
number	নাম্বার
degree	ডিগ্রি
corporation	কর্পোরেশন
prairie	প্রেইরি
maryland	মেরিল্যান্ড
manila	ম্যানিলা
tower	টাওয়ার
caffeine	ক্যাফেইন
ninja	নিনজা
admiral	অ্যাডমিরাল
television	টেলিভিশন
berlin	বার্লিন
license	লাইসেন্স
england	ইংল্যান্ড
rabbi	রব্বি
delaware	ডেলাওয়্যার
hydrogen	হাইড্রোজেন
cairo	কায়রো
database	ডেটাবেজ
somalia	সোমালিয়া
chancellor	চ্যান্সেলর
company	কোম্পানি
carbon	কার্বন
hardware	হার্ডওয়্যার
sudan	সুদান
concrete	কংক্রিট
